HOLEID,SAMPFROM,SAMPTO,AG_PPM_OLDISKUT,AS_PPM_OLDISKUT,AU_PPM_OLDISKUT,BA_PPM_OLDISKUT,BI_PPM_OLDISKUT,CD_PPM_OLDISKUT,CO_PPM_OLDISKUT,CR_PPM_OLDISKUT,CU_PCT_OLDISKUT,FE_PCT_OLDISKUT,K_PCT_OLDISKUT,MO_PCT_OLDISKUT,NA_PCT_OLDISKUT,PB_PCT_OLDISKUT,S_PCT_OLDISKUT,SB_PPM_OLDISKUT,Comment,Veins,Snip_Veins,Snip_veins_sorted
1198,3.0,8.0,2.6,,0.375,,,,,,0.065,,,0.006,,,,,,,High,High
1198,8.0,9.5,2.8,,0.335,,,,,,0.145,,,0.002,,,,,,,Mid,Mid
1198,9.5,10.0,1.6,,0.115,,,,,,0.067,,,0.008,,,,,,,Mid,Mid
1198,10.0,12.0,15.2,,0.855,,,,,,0.368,,,0.017,,,,,,,High,High
1198,12.0,12.5,1.6,,0.32,,,,,,0.204,,,0.009,,,,,,,Mid,Mid
1198,12.5,13.0,1.6,,0.35,,,,,,0.171,,,0.008,,,,,,,Mid,Mid
1198,13.0,16.5,1.8,,0.28,,,,,,0.227,,,0.01,,,,,,,Mid,Mid
1198,16.5,17.0,2.2,,0.295,,,,,,0.177,,,0.001,,,,,,,Mid,Mid
1198,17.0,22.0,1.2,,0.48,,,,,,0.281,,,0.008,,,,,,,High,High
1198,22.0,27.0,0.4,,0.24,,,,,,0.14,,,0.002,,,,,,,Mid,Mid
1198,27.0,32.0,0.6,,0.25,,,,,,0.159,,,0.003,,,,,,,Mid,Mid
1198,32.0,37.0,0.4,,0.255,,,,,,0.147,,,0.003,,,,,,,Mid,Mid
1198,37.0,42.0,0.4,,0.245,,,,,,0.159,,,0.004,,,,,,,Mid,Mid
1198,42.0,47.0,0.8,,0.265,,,,,,0.18,,,0.02,,,,,,,Mid,Mid
1198,47.0,52.0,1.2,,0.31,,,,,,0.199,,,0.019,,,,,,,Mid,Mid
1198,52.0,54.5,2.2,,0.675,,,,,,0.281,,,0.009,,,,,,,High,High
1198,54.5,57.0,3.0,,0.74,,,,,,0.311,,,0.008,,,,,,,High,High
1198,57.0,61.0,2.2,,0.23,,,,,,0.129,,,0.018,,,,,,,Mid,Mid
1198,61.0,62.3,1.2,,0.495,,,,,,0.168,,,0.004,,,,,,,High,High
1198,62.3,62.8,1.8,,0.42,,,,,,0.211,,,0.005,,,,,,,High,High
1198,62.8,64.5,0.8,,0.28,,,,,,0.136,,,0.007,,,,,,,Mid,Mid
1198,64.5,69.5,0.6,,0.29,,,,,,0.104,,,0.004,,,,,,,Mid,Mid
1199,3.0,8.0,0.4,,0.16,,,,,,0.051,,,0.001,,,,,,,Mid,Mid
1199,8.0,13.0,0.4,,0.17,,,,,,0.102,,,0.001,,,,,,,Mid,Mid
1199,13.0,18.0,0.6,,0.23,,,,,,0.158,,,0.003,,,,,,,Mid,Mid
1199,18.0,20.5,0.4,,0.28,,,,,,0.136,,,0.005,,,,,,,Mid,Mid
