HOLEID,EAST,NORTH,RL,DEPTH,Azimuth,Dip,Company,Year
1075s,371595.36,6282371.39,320.0,67.06,30.0,201.72,Bronson,
1077s,371595.36,6282371.39,320.0,27.43,90.0,296.93,Bronson,
1078s,371588.87,6282280.62,372.0,46.94,30.0,151.72,Bronson,
1079s,371588.87,6282280.62,372.0,32.92,60.0,71.72,Bronson,
1080s,372175.71,6282316.74,150.0,49.07,60.0,231.72,Bronson,
1198,372185.6,6281829.2,422.0,69.5,55.0,206.93,Bronson,
1199,372185.6,6281829.2,422.0,169.2,69.0,26.93,Bronson,
1200,372272.4,6282003.8,317.0,166.7,45.0,206.93,Bronson,
1201,372272.4,6282003.8,317.0,130.1,59.0,26.93,Bronson,
1202,372609.2,6281782.7,322.0,108.8,45.0,206.93,Bronson,
1203,372609.2,6281782.7,322.0,120.1,55.0,26.93,Bronson,
1204,372651.1,6281866.9,282.0,105.8,55.0,26.93,Bronson,
1208,371907.5,6281875.5,587.3,182.6,84.3,10.16,Bronson,
1209,371939.7,6281969.0,584.7,169.2,81.6,26.93,Bronson,
1210,371750.1,6282057.5,551.8,124.1,73.5,28.73,Bronson,
1211,371720.1,6281996.6,601.3,165.5,82.4,17.82,Bronson,
1212,371581.6,6282075.6,546.0,135.5,75.0,26.93,Bronson,
1213,372837.4,6281343.2,466.0,84.7,79.0,26.93,Bronson,
1214,372712.0,6281427.9,465.0,89.9,75.0,26.93,Bronson,
1215,371818.9,6281964.1,597.4,342.4,53.6,15.4,Bronson,
1216,371719.6,6281995.3,601.5,256.7,60.3,16.35,Bronson,
1217,371844.7,6281891.5,619.6,423.4,58.6,30.83,Bronson,
1218,371894.9,6281992.4,597.9,408.1,56.2,25.51,Bronson,
1219,371950.1,6281804.6,572.5,452.9,63.0,26.93,Bronson,
1220,372041.8,6281764.3,513.0,369.1,55.0,26.93,Bronson,
1221,371669.8,6282100.7,506.5,312.1,54.0,26.93,Bronson,
1222,371894.9,6281992.4,597.9,199.0,54.0,206.93,Bronson,
1223,371612.8,6282215.6,425.0,264.0,60.0,26.93,Bronson,
1224,371765.1,6282411.3,222.0,27.0,46.03,148.54,Bronson,
1225,371813.4,6282068.4,566.9,299.9,57.0,27.0,Bronson,
1226,371995.4,6281895.8,543.1,275.4,55.0,27.0,Bronson,
1227,372116.6,6281690.4,507.4,243.23,60.0,25.47,Bronson,
1228,372322.4,6281655.1,432.1,200.0,55.0,27.0,Bronson,
1229,371732.7,6281817.3,714.1,450.0,59.31,23.23,Bronson,
1230,372116.6,6281690.4,507.4,40.2,90.0,27.0,Bronson,
1231,372457.6,6281593.5,438.0,46.0,82.0,27.0,Bronson,
1232,372005.3,6281804.0,530.0,219.6,83.0,27.0,Bronson,
1233,372213.2,6281675.1,465.0,219.5,60.0,27.0,Bronson,
1234,371733.1,6281817.4,714.1,327.7,54.0,328.0,Bronson,
1235,372180.3,6281405.2,642.0,402.0,59.0,32.0,Bronson,
1236,372180.3,6281405.2,642.0,236.8,47.0,302.0,Bronson,
1237,371733.1,6281817.4,714.1,446.5,45.0,302.0,Bronson,
1238,372327.1,6281345.6,625.0,61.0,50.0,32.0,Bronson,
1239,372327.1,6281345.6,625.0,36.0,60.0,32.0,Bronson,
1240,372465.5,6281605.0,437.0,28.0,82.42,28.8,Bronson,
1241,372465.0,6281604.9,437.0,150.3,88.93,52.0,Bronson,
1242,372410.0,6281620.0,430.4,199.6,48.53,61.5,Bronson,
1243,372409.6,6281621.5,432.0,169.5,54.04,28.5,Bronson,
1244,372526.9,6281542.4,457.1,249.1,58.7,27.94,Bronson,
1245,371848.5,6281629.5,764.0,493.0,61.02,12.71,Bronson,
1246,371852.0,6281627.8,765.3,545.7,60.87,64.19,Bronson,
200601,371854.1,6281950.9,594.2,31.0,60.0,30.5,Bronson,
200602,371913.1,6281974.8,598.6,138.6,70.0,27.5,Bronson,
200603,371861.6,6281951.0,590.4,270.0,59.0,28.5,Bronson,
200604,371997.3,6281893.5,545.5,122.0,55.0,27.5,Bronson,
944,372044.2,6281837.7,513.9,206.34,50.0,8.72,Bronson,
945,372044.2,6281837.7,513.9,48.0,75.0,8.72,Bronson,
946,372061.4,6281872.9,507.0,121.61,45.0,322.72,Bronson,
