HID_STRG,FROM,TO,OLDLITH,DRILLLOG,COMMENTS,LITH_1,Lith_grouped,Lith_select
SN06-01,0.0,5.8,OB,"Casing, no recovery","Casing, no recovery",Casing,,
SN06-01,5.8,18.5,SG,"Siliceous Greywacke.  Fine grained, dark green-grey, massive (no bedding), hard - variably siliceous.  Brownish cast - suggests very fine grained biotite.  Few small (<5mm) angular, light coloured fragments (clasts) - possibly tuffaceous rock.  3-4% pyrite but locally (10cm) up to 7%. Pyrite occurs as disseminations and in quartz stringers.  Trace disseminated chalcopyrite.  Most of quartz stringers have obscure boundaries and are milky grey-white. Very locally, rock is mainly quartz with some fragments of greywacke",Siliceous Greywacke,SilGW,,
SN06-01,18.5,20.8,QV,"Quartz Vein.  Some solid white quartz vein but most is mixture of greywacke and quartz vein. Veins appear brecciated in places. Indistinct boundaries impart blotchy appearance.  Minor, thin secondary QV cuts primary QV.  5% fine grained pyrite",Quartz Vein,QtzVn,,
SN06-01,20.8,29.0,SG,"Siliceous Greywacke.  Dark green, fine grained, featureless.  Numerous small, angular fragments in places (lapilli?).  Trace small blebs of epidote, sericite, calcite.  5% quartz veins - mainly thin (<2mm) at to deg to core axis.  2-3% pyrite as disseminations, veinlets and blebs in quartz veins.",Siliceous Greywacke,SilGW,,
SN06-01,29.0,30.5,SG,"Siliceous Greywacke.  Medium green-grey, fine grained,banding (bedding/) imparted by alternating layers of darker and lighter material, commonly sub-parallel to core axis.  Trace small grains of epidote, calcite.  4% pyrite.",Siliceous Greywacke,SilGW,,
SN06-01,30.5,31.4,QV,Mixed Quartz vein and Sileous Greywacke.  Abundant quartz veins in sileous greywacke.  Locally brecciatedd.  5% fine grained pyrite.,Mixed Quartz vein and Siliceous Greywacke,QtzVn,,
SN06-01,31.4,36.6,GW,Greywacke.  Fine grained greywacke or tuff/lapilli tuff - locally bedded and contains clasts.  Trace epidote and calcite.  3% pyrite as disseminations and stringers.,Greywacke,GW,Greywacke,
SN06-01,36.6,37.5,SG,"Siliceous Greywacke.  Light to medium grey, remnant bedding and fragments still observed but indistinct.  Trace to 1% epidote as blebs and in veinlets.  Minor very small, round to blebby cream-grey mineral (aluminosilicate?).  2-3% thin quartz veins (some cryptocrystalline).  5% pyrite as disseminations and stringers.",Siliceous Greywacke,SilGW,,
SN06-01,37.5,59.5,GW,Greywacke .,Greywacke,GW,Greywacke,
SN06-01,59.5,61.5,SG,Siliceous Greywacke.  Remnant bedding and fragments (pyroclasts?).  2% epidote as small to large blotches.  1-2% irregular quartz veins.  3-4% pyrite as disseminations and veinlets.,Siliceous Greywacke,SilGW,,
SN06-01,61.5,73.2,GW,"Greywacke.  Dark green-grey, fine grained, massive to thin bedded (sub-parallel to core axis). Abundant small fragments in places, some rounded.  Many small sub-rounded quartz fragments with blurred boundaries.  Moderate quartz veining overall but intense locally, preferred orientation @ 35 deg to core axis.  calcite, chlorite, biotite.  5% fine grained pyrite as disseminations, veinlets and within quartz veins.",Greywacke,GW,Greywacke,
SN06-01,73.2,75.8,SG,"Siliceous Greywacke.  Medium grey, hard, fragments still visible.  Locally brecciated and fractured.  Minor chlorite - 5%l quartz veins.  2% fine grained pyrite along fracstures and veinlets.",Siliceous Greywacke,SilGW,,
