hole id,From,To,Core Description & Comments,Color,Lithology,relog codes,Text 1,Text 1 intens.,% Py,% Cp,% Ga,% Sp,% Mt,Alt1 Code,Alt1 Mod,Alt1 int.,Alt2 Code,Alt2 Mod,Alt2 int.,ALT Text mod,Quartz vein style,ANHY Abund.,ANHY Mode,Struct1,Struct1 dens.,VEIN PARA Old,VEIN PARA Young,VEIN PARA DOM. TYPE,OX State,OX Type,OX Abnd.,SEA_relog_grouped,SEA_relog_select
1212,0.0,11.1,ovbn/no recovery,,NREC,OVBN,,,,,,,,,,,,,,,,,,,,,,,,,,Overburden,Overburden
1212,11.1,39.0,"Dark brown/grey-black, sandy siltstone; fine sand fraction of interval ~5%; veining comprises ~10%: 6% qtz+py+cpy, 4% thin carb veins annealing fracts; majority of qtz veining is multphase, primary sucrosic qtz fragments embayed in coarse xln-to-vuggy qtz; largeish, subhedral clots of chalco (up to 6mm) with anhedral chadacrysts of bornite(?) embayed w/in xl margins; pale green chlorite in irreg patches in groundmass and rarely as scaly, discontinuous vein selvedges. Glassy sil altn of matrix and fine xln bio absent; patchy prop altn, -hornfels. Roughly 1 qtz+sulph vein per meter.",,SSLN,SSLN,Fg,3.0,1.5,0.2,,,,PRO,Pch,1.0,,,,,,,,,,,C,,4.0,G,1.0,Wacke,Wacke
1212,39.0,73.3,"As previous without thin, earthy goethite patinas on fracts.",,SSLN,SSLN,Fg,3.0,1.5,0.2,,,,PRO,Pch,1.0,,,,,,,,,,,C,,5.0,,,Wacke,Wacke
1212,73.3,75.6,Small fracture zone in sandy silstones; bleachng/light grey sericite altn in patches and irreg sil flooding of groundmass; coarse xln qtz+py>cpy veins ~25% of interval; darker S0 parallel thin bands of fin xln biotite(?).,,SSLN,SSLN,Fg,3.0,2.0,0.4,,,,HFPR,P,3.0,,,,,1.0,,,fr,5.0,,C,,3.0,J,3.0,Wacke,Wacke
1212,75.6,96.9,"Dark grey/black, thinly laminated siltstone; fissile partings, decreasing sand-sized clastic fraction. Approx 1 qtz+py vein/meter; absent splashy chalco masses embayed in ven as previously.",,SSLN,SSLN,Fg,4.0,,,,,,PRO,Pch,1.0,,,,,,,,,,,C,,5.0,,,Wacke,Wacke
1212,96.9,103.0,core missing; met sample?,,MC,MC,,,,,,,,,,,,,,,,,,,,,,,,,,Missing,Missing
1212,103.0,133.5,"Grey sandy siltstone with ~5% fine grained sand in groundmass, silt-supported matrix.",,SSLN,SSLN,Fg,3.0,,,,,,PRO,Pch,2.0,,,,,,,,,,,C,,5.0,,,Wacke,Wacke
1212,133.5,135.3,Bleached sandy siltstone with patchy sil floodin of groundmass; ~35% grey qtz crackle veins with sub-mm sutures annealed w/ fine xln py>cpy.,,SSLN,SSLN,Fg,3.0,,,,,,PRO,Pch,,,,,,,,,,,,C,,5.0,,,Wacke,Wacke
1215,0.0,0.7,Uncertain depths; blocks and sample tags unreadable; first sample tag .7 meters from top of first box. Presumbly overburden with poor recovery.,,OVBN,OVBN,,,,,,,,,,,,,,,,,,,,,,,,,,Overburden,Overburden
1215,0.7,36.5,"Dark grey/black, thickly laminated, sandy siltstone. Sub-cm carb veins annealing fracts > vuggy qtz+py veins. Sparse earthy goethite on fractures, most sulfide xls have oxide reaction rims. Fine-grained sand comprises <5% of groundmass.",,SSLN,SSLN,Lm,3.0,1.5,,,,,HFPR,Pch,1.0,,,,,,,,,,,C,C,4.0,G,1.0,Wacke,Wacke
1215,36.5,112.9,Quartz+magnetite+pyrite+specularite+/-biotite+/-chalco exoskarn hosted in sandy siltstone; host rock lith discernable in small less altered panels. Quartz replacement of host increasing w/ depth approaching 45% at maximum silica content. Cryptoxline clots and dendritic masses of magnetite up to 5% locally. Irregular/platy galena masses filling in vugs of qtz veins (eg 38.4 m).,,U_QM_WR,U_QM_WR,Ap,4.0,2.0,0.1,,,2.5,HFBM,P,3.0,,,,,2.0,,,,,,,,5.0,,,Quartz Monzonite,Quartz Monzonite
1215,112.9,115.65,Late mafic/int composition dike with carb filled amydules; light brown color,,DAND,DMAF,Fg,4.0,0.5,,,,,UNA,,,,,,,,,,,,,,,5.0,,,Mafic dykes,Mafic dykes
1215,115.65,229.6,"Qtz+mt+py+specularite+cpy exoskarn; pervasive textural destruction of host lith, no more weakly replaced panels. Silica veining and replacemet up to 65% locally, ave ~35% qtz+mag+py veins (commonly B-type with medial sulfide suture).",,U_WR,U_QM_WR,Fg,3.0,2.0,0.1,,,3.0,HFBM,Pch,3.0,,,,,2.0,,,,,,,,5.0,,,Quartz Monzonite,Quartz Monzonite
1215,229.6,234.2,Dark grey/black mafic dike; carbonate+sericite filled amygdules at top of interval (minor).,,DMAF,DMAF,Ap,4.0,,,,,,UNA,,,,,,,,,,,,,,,,,,Mafic dykes,Mafic dykes
1215,234.2,291.8,Intense qtz+mag replacement of sed wallrock; B-type veining (medial mag+py+/-cpy sutures) averages ~30%; late coarse xln qtz veins up to 10 cm wide ~5% of interval; rare B-type veining xcutting existing B-types (spacially correlative to some of the better grades); also submsv sulfide+qtz vns (eg 245.5 m).,,U_QM_WR,U_QM_WR,Fg,4.0,3.0,0.4,,,8.0,HFBM,P,4.0,,,,,3.0,,,,,,,,5.0,,,Quartz Monzonite,Quartz Monzonite
1215,291.8,342.4,"Comtuing intense qtz+mag alteration into Monzonite composition intrusive; upper contact is obscured, and seemingly defined by a 25 cm msv coarse xln qtz vein. Marked increase in late coarse xln qvn (with splashy cpy clots) @ ~305.5-307 m. Bladed to platy specular hematite on dilated fracts locally (eg 318.5 m).",,U_INT,MONZ,Po,3.0,3.0,0.5,,,7.0,HFBM,V,4.0,,,,,3.0,,,,,,,,5.0,,,Monzonite porphyry,Monzonite porphyry
1217,0.0,36.7,Apparently collared in outcrop(?); silt-supported sandy siltstone; pervasive disruption of S0/crackling and boudinaged carbonate veining; very minor goethite patinas on larger fracts; no real hornfels/silica permineralization of matrix.,,SSLN,SSLN,Lm,3.0,0.5,,,,,HFPR,Fr,1.0,,,,,,,,,,,C,C,4.0,G,1.0,Wacke,Wacke
1217,36.7,37.7,Submassive coarse xln qtz+ankerite+chl+py vein; rafts of chlorite altered wallrock; single anhedral clot of cpy,,QZ_VN,QZ_VN,Ms,3.0,1.5,0.1,,,,UNA,,,,,,,4.0,,,qvn,1.0,,,,5.0,,,Veins,Veins
1217,37.7,59.7,"Light brown, sericite-altered sandy siltstone; bleached zones as wide psuedo-selvedges around qtz veins (qtz+carb+py veins up to 2 cm wide). Irregular wispy bands of vf xln biotite(?).",,SSLN,SSLN,Lm,4.0,1.0,0.1,,,,HFPR,Pch,1.0,,,,,,,,,,,C,,5.0,,,Wacke,Wacke
1217,59.7,61.2,"Dumped row, taken for met sample?",,MC,MC,,,,,,,,,,,,,,,,,,,,,,,,,,Missing,Missing
1217,61.2,108.8,"Weak, patchy quartz+magnetite altn; mag spatially assoc with sucrosic/granular qtz veins and larger fracture sets, in anhedral fine xln disseminations and dendritic blebs. Qvn show some crackling/deformation and rarely have medial anhedral magnetite+/-pyrite (B-type).",,SSLN,SSLN,Lm,4.0,2.0,0.1,,,,HFBM,Pch,2.0,,,,,,,,,,B,C,B,5.0,,,Wacke,Wacke
1217,108.8,165.2,"Pervasively qtz+magnetite altered silltstone (ubiquitous textural destruction/overprinting of protoloith texture). Stockwork qtz+mag+bio?+/-galena veins, generally ~1 cm wide veins. Stockwork veining (and attendant silica altn of groundmass) up to ~65%, but ave. ~30%.",,U_QM_WR,U_QM_WR,,,1.5,0.2,0.1,,2.0,HFBM,Mo,4.0,,,,,2.0,,,,,B,,B,5.0,,,Quartz Monzonite,Quartz Monzonite
1217,165.2,175.1,"Light brown, magnetite altered, late, predomimantly apahanitic, intermediate-mafic dike. Interfingering with qtz+mag altered sediments (not a discrete intrusive body, but multiple dikes?). Magnetite in small, remobilized blebs on fract surfaces.",,DAND,DMAF,Ap,4.0,,,,,0.5,UNA,,,,,,,,,,,,,,,5.0,,,Mafic dykes,Mafic dykes
