HOLEID,DEPTH,DIP,AZIMUTH
1075s,0.0,30.0,201.72
1077s,0.0,90.0,296.93
1078s,0.0,30.0,151.72
1079s,0.0,60.0,71.72
1080s,0.0,60.0,231.72
1198,0.0,55.0,206.93
1198,69.5,54.0,206.93
1199,0.0,69.0,26.93
1199,169.2,66.0,26.93
1200,0.0,45.0,206.93
1200,166.7,40.0,206.93
1201,0.0,59.0,26.93
1201,130.1,58.0,26.93
1202,0.0,45.0,206.93
1202,108.8,46.0,206.93
1203,0.0,55.0,26.93
1203,120.1,53.0,26.93
1204,0.0,55.0,26.93
1204,105.8,53.0,26.93
1208,0.0,84.3,10.16
1209,0.0,81.6,26.93
1209,169.16,82.0,26.93
1210,0.0,73.5,28.73
1210,88.39,75.0,28.73
1211,0.0,82.4,17.82
1212,0.0,75.0,26.93
1213,0.0,79.0,26.93
1214,0.0,75.0,26.93
1215,0.0,53.6,15.4
1215,329.3,55.0,15.4
1215,342.4,55.0,15.4
1216,0.0,60.3,16.35
1216,256.7,58.0,16.35
1217,0.0,58.6,30.83
1217,45.72,60.0,30.83
1217,289.56,55.0,30.83
1217,422.15,55.0,30.83
1218,0.0,56.2,25.51
1218,15.2,57.5,25.51
1218,91.44,57.5,25.51
1218,168.0,56.0,25.51
1218,290.0,58.5,25.51
1218,407.0,59.5,25.51
1219,0.0,63.0,26.93
1219,27.4,63.0,26.93
1219,121.92,62.0,26.93
1219,274.0,60.0,26.93
1219,439.02,58.5,26.93
1220,0.0,55.0,26.93
1220,36.6,55.0,26.93
1220,274.32,57.5,26.93
1220,369.1,55.0,26.93
1221,0.0,54.0,26.93
1221,89.61,54.0,26.93
1221,190.2,54.0,26.93
1221,281.64,54.0,26.93
1222,0.0,54.0,206.93
1222,16.0,54.0,206.93
1222,91.0,56.0,206.93
1222,199.0,55.0,206.93
1223,0.0,60.0,26.93
1223,60.96,60.0,26.93
1223,137.16,60.0,26.93
1223,240.79,62.0,26.93
1224,0.0,46.03,148.54
1225,0.0,57.0,27.0
1226,0.0,55.0,27.0
1227,0.0,60.0,25.47
1228,0.0,55.0,27.0
1229,0.0,59.31,23.23
1230,0.0,90.0,27.0
1231,0.0,82.0,27.0
1232,0.0,83.0,27.0
1232,76.2,83.0,27.0
1232,152.4,83.0,27.0
1233,0.0,60.0,27.0
1233,76.2,60.5,27.0
1233,152.4,61.5,27.0
1233,219.5,62.5,27.0
1234,0.0,54.0,328.0
1234,61.0,52.5,328.0
1234,121.9,56.0,328.0
1234,243.8,60.0,328.0
1235,0.0,59.0,32.0
1235,61.0,60.0,32.0
1235,121.9,62.0,32.0
1235,182.9,61.5,32.0
1235,243.8,64.0,32.0
1235,304.8,64.5,32.0
1235,365.8,67.0,32.0
1235,402.0,64.5,32.0
1236,0.0,47.0,302.0
1236,61.0,46.0,302.0
1236,121.9,52.0,302.0
1236,182.9,53.0,302.0
1237,0.0,45.0,302.0
1237,30.5,43.5,302.0
1237,91.4,41.75,302.0
1237,152.4,40.0,302.0
1237,213.4,42.0,302.0
1237,274.3,43.0,302.0
1237,335.3,41.0,302.0
1237,396.2,41.0,302.0
1237,437.4,43.5,302.0
1238,0.0,50.0,32.0
1239,0.0,60.0,32.0
1240,0.0,82.42,28.8
1241,0.0,88.93,52.0
1241,76.2,89.0,52.0
1241,150.3,88.5,52.0
1242,0.0,48.53,61.5
1242,69.2,50.5,61.5
1242,152.4,51.0,61.5
1242,199.6,52.0,61.5
1243,0.0,54.04,28.5
1243,54.0,54.0,28.5
1243,169.5,53.5,28.5
1244,0.0,58.7,27.94
1244,75.3,60.0,27.94
1244,186.6,62.0,27.94
1244,246.0,62.5,27.94
1245,0.0,61.02,12.71
